patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,PAM50
TCGA-A1-A0SF-01,0.0,0.0,0.0,8.309595,10.226632,1.2082915,0.0,33.02211,10.074696,0.0,0.0,0.0,0.0,0.0,7.2102633,0.0,0.0,0.0,28.009418,10.4514265,0.0,0.0,0.0,0.0,0.0,0.9808064,0.0,10.6750765,0.0,0.0,36.55395,0.0,39.644993,0.0,0.0,0.0,0.0,0.17997679,0.0,0.0,0.0,12.304138,0.0,22.242197,0.0,21.616915,0.0,0.0,0.0,25.179672,0.0,35.432804,0.0,3.2754016,0.0,0.0,3.1068962,3.1647358,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-A1-A0SQ-01,0.0,0.0,0.0,9.592543,0.0,0.0,38.917835,0.0,14.311007,0.0,0.0,0.0,1.2154565,0.0,0.0,0.0,14.429818,0.0,15.392182,15.6746435,0.0,0.0,0.0,0.0,0.0,10.17361,0.0,0.0,0.0,9.079703,11.381013,0.0,10.812388,0.0,12.937422,0.0,0.0,0.0,0.0,0.0,0.0,41.180397,0.0,0.0,0.0,25.548391,7.9697156,0.0,0.0,19.944462,0.0,19.668276,0.0,14.490927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-A2-A04N-01,0.0,0.0,0.0,5.0250835,18.363157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2932115,0.0,0.0,0.0,0.0,27.045586,0.60368955,0.0,0.0,0.0,0.0,19.65211,14.920427,0.0,0.0,0.0,13.229175,16.85287,0.0,20.38962,0.90468633,0.0,0.0,24.76569,0.0,0.0,0.0,0.0,17.009476,0.0,0.0,0.0,11.813603,6.7659235,3.2382932,0.0,0.1884661,0.0,19.403477,0.0,0.0,0.0,0.0,0.0,15.024035,0.0,0.0,2.7891173,0.0,0.0,0.0,LumA
TCGA-A2-A04U-01,0.0,0.0,25.286821,0.0,83.12737,0.0,27.448982,0.0,0.0,47.008717,14.113487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.489975,0.0,0.0,0.0,120.71904,0.0,0.0,0.0,0.0,0.0,21.760368,0.0,31.64006,113.586235,0.0,48.95537,25.604275,0.0,0.0,0.0,0.0,0.0,113.62906,0.0,0.0,125.90913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07699,0.0,0.0,Basal
TCGA-A2-A04W-01,0.0,0.0,0.0,9.143981,36.417595,0.0,7.9481745,0.0,0.0,56.272625,0.0,0.0,11.000154,0.0,0.0,0.0,0.0,0.0,3.1074765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2695813,9.558236,0.0,0.0,26.533234,0.0,18.196568,0.0,0.0,0.0,2.8537114,0.0,0.0,8.248536,0.0,0.0,0.0,0.0,0.0,11.461263,0.0,0.0,0.0,31.885574,0.0,0.0,29.005365,0.0,0.0,0.0,0.0,0.0,19.190363,0.0,0.0,0.0,0.0,0.0,Her2
TCGA-A2-A0CS-01,0.0,1.4035589,0.0,27.838331,16.557135,1.6677594,22.416254,15.19139,0.0,0.0,6.382656,0.0,5.547824,0.0,0.0,0.0,0.0,0.0,20.987427,16.686974,0.0,0.0,10.381071,0.0,4.8961825,12.21247,0.0,0.0,0.0,0.0,8.634945,0.0,6.930757,0.0,0.0,0.0,0.0,5.7476645,0.0,0.0,0.0,23.38641,2.4918165,0.0,0.0,3.6170077,0.0,0.0,0.0,22.551842,0.0,39.005363,0.0,8.1947,0.0,0.0,0.0,1.6971947,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-A2-A0CV-01,0.0,0.0,0.0,15.229931,9.082454,0.4632759,0.0,37.922417,12.239476,0.0,0.0,0.0,0.0,0.0,7.9639416,0.0,0.0,0.0,29.97473,13.470347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.808633,0.0,0.0,42.06986,0.0,40.875935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.663774,0.0,16.62893,0.0,28.880163,0.0,0.0,0.0,22.660013,0.0,48.669785,0.0,7.6433563,0.0,0.0,1.6927588,5.663457,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-A2-A0CW-01,0.0,0.0,13.8614855,0.0,33.455666,0.0,0.0,0.0,0.0,0.0,23.0523,0.0,2.1140409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.558607,32.75676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.052593,0.0,0.0,7.960479,0.0,0.0,8.03974,7.4312234,0.0,0.0,0.0,0.0,1.9589267,0.0,0.0,26.307297,0.0,3.0462577,25.050234,0.0,3.1641746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LumB
TCGA-A2-A0D3-01,0.0,1.2627616,0.0,30.774837,20.076906,1.9614112,26.429407,18.132868,0.0,0.0,14.9182415,0.0,5.488256,0.0,0.0,0.0,0.0,0.0,22.33554,20.910248,0.0,0.0,9.745594,0.0,8.482077,12.1097355,0.0,0.0,0.0,0.0,7.9043803,0.0,6.951225,0.0,0.0,0.0,0.0,5.562172,0.0,0.0,0.0,26.956806,3.5347197,0.0,0.0,4.0601892,0.0,0.0,0.0,25.92423,0.0,43.839207,0.0,13.238228,0.0,0.0,0.0,2.8114433,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-A2-A0ES-01,0.0,0.0,0.0,44.683002,8.552867,0.0,0.0,8.062458,14.470761,0.0,0.0,0.0,10.948644,8.617122,0.0,0.0,0.0,0.0,36.077194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.032124,29.944355,0.0,20.112707,0.0,29.65122,0.0,8.421807,0.0,0.0,0.0,0.0,60.25397,0.0,0.0,0.0,47.996284,0.0,8.686169,0.0,0.0,0.0,60.004814,0.0,29.340305,0.0,0.0,0.0,19.157827,0.0,0.0,3.6610656,0.0,0.0,0.0,LumA
